Questions,Answers,
What is a database?,A database is a structured collection of data that is organized and stored in a way that allows for efficient retrieval and management.,
What is SQL?,SQL (Structured Query Language) is a standard programming language used for managing and manipulating relational databases. It provides commands for querying and updating data.,
What is the difference between a primary key and a foreign key?,"A primary key uniquely identifies a record in a table, while a foreign key is a field in a table that refers to the primary key in another table, establishing a link between the two tables.",
What is normalization in databases?,"Normalization is the process of organizing data in a database to reduce redundancy and dependency by dividing tables into smaller, related tables.",
What is the ACID properties in the context of databases?,"ACID stands for Atomicity, Consistency, Isolation, and Durability. These properties ensure the reliability of database transactions, guaranteeing that they are processed reliably even in the presence of errors or system failures.",
What is Data Model?,"A collection of conceptual tools for describing data, data relationships data semantics and constraints.",
What is E-R model?,This data model is based on real world that consists of basic objects called entities and of relationship among these objects. Entities are described in a database by a set of attributes.,
What is Object Oriented model?,This model is based on collection of objects. An object contains values stored in instance variables with in the object.,
What is an Entity?,It is a 'thing' in the real world with an independent existence.,
What is an Entity type?,It is a collection (set) of entities that have same attributes.,
What is an Entity set?,It is a collection of all entities of particular entity type in the database.,
What is an Extension of entity type?,The collections of entities of a particular entity type are grouped together into an entity set.,
What is Weak Entity set?,"An entity set may not have sufficient attributes to form a primary key, and its primary key compromises of its partial key and primary key of its parent entity, then it is said to be Weak Entity set.",
What is an attribute?,"It is a particular property, which describes the entity.",
What is a Relation Schema ?,"A relation Schema denoted by R(A1, A2, ..., An) is made up of the relation name R and the list of attributes Ai that it contains.",
What is a Relation?,"A relation is defined as a set of tuples. Let r be the relation which contains set tuples (t1, t2, t3, ..., tn).",
What is degree of a Relation?,It is the number of attribute of its relation schema.,
What is Relationship?,It is an association among two or more entities.,
What is Relationship set?,The collection (or set) of similar relationships.,
What is Relationship type?,Relationship type defines a set of associations or a relationship set among a given set of entity types.,
What is degree of Relationship type?,It is the number of entity type participating.,
What is DDL (Data Definition Language)?,A data base schema is specifies by a set of definitions expressed by a special language called DDL.,
What is VDL (View Definition Language)?,It specifies user views and their mappings to the conceptual schema.,
What is SDL (Storage Definition Language)?,This language is to specify the internal schema. This language may specify the mapping between two schemas.,
What is Data Storage - Definition Language?,The storage structures and access methods used by database system are specified by a set of definition in a special type of DDL called data storage-definition language.,
What is DML Compiler?,It translates DML statements in a query language into low-level instruction that the query evaluation engine can understand.,
What is Query evaluation engine?,It executes low-level instruction generated by compiler.,
What is DDL Interpreter?,It interprets DDL statements and record them in tables containing metadata.,
What is Record-at-a-time?,The Low level or Procedural DML can specify and retrieve each record from a set of records. This retrieve of a record is said to be Record-at-a-time.,
What is Set-at-a-time or Set-oriented?,The High level or Non-procedural DML can specify and retrieve many records in a single DML statement. This retrieve of a record is said to be Set-at-a-time or Set-oriented.,
What is Relational Algebra?,It is procedural query language. It consists of a set of operations that take one or two relations as input and produce a new relation.,
What is Relational Calculus?,"It is an applied predicate calculus specifically tailored for relational databases proposed by E.F. Codd. E.g. of languages based on it are DSL ALPHA, QUEL.",
What is Lossless join property?,It guarantees that the spurious tuple generation does not occur with respect to relation schemas after decomposition.,
What is 1 NF (Normal Form)?,"The domain of attribute must include only atomic (simple, indivisible) values.",
What is Fully Functional dependency?,It is based on concept of full functional dependency. A functional dependency X Y is full functional dependency if removal of any attribute A from X means that the dependency does not hold any more.,
What is 2NF?,A relation schema R is in 2NF if it is in 1NF and every non-prime attribute A in R is fully functionally dependent on primary key.,
What is meant by query optimization?,The phase that identifies an efficient execution plan for evaluating a query that has the least estimated cost is referred to as query optimization.,
