Questions,Answers,,
UDP is what type of protocol?,Connectionless,,
What is an advantage of optical fiber over traditional copper wiring?,Less bulk,,
Which network topology uses a central hub or controller?,Star,,
How does the use of a router differ from a bridge in telecommunication?,"A router is a communication device that is used to connect two different networks, while a bridge is networking device that divides the network into different segments to manage the amount of traffic.""",,
The presentation layer of the OSI model translates data into an acceptable format usable by which layer?,The application layer,,
What the OSI Model is used to?,describe how communications happen across a network,,
"When internet service providers use fiber optic cables, which cable type are they most likely to use for home networks?",Plastic optical cable,,
Why are addresses important in networking?,They are used to identify both the network to which the device is connected to as well as the device itself.,,
Which protocol downloads a copy of an email and deletes the original email from the server?,POP3,,
"In what topology network, all the devices are connected back to a central hub or switch?",Star topology,,
What is the organization that currently regulates and manages the Internet ?,ICANN,,
Where does the cloud concept originate?,Network diagram,,
Which internet protocol is responsible for re transmitting lost or erroneous data packets?,TCP,,
What identifies the protocol or protocols available to the session layer for standardizing communications on a network?,TCP/IP,,
What main use does Telnet have in modern IT?,Telnet is often used for embedded devices.,,
What is the type of fiber used typically for long distance runs?,Single-mode,,
Which of these is the most common cable type to connect a home network to a cable modem using an internet service provider?,Coaxial,,
"When a user tries to access a web page, what does the system do first?",Searches the domain name in DNS.,,
What is the software or hardware used to connect two different networks is known as?,Gateway,,
Which of the following is true about half-duplex mode?,Data is transmitted in both directions but not at the same time.,,
Why is the role of RTCP important in VoIP communications?,It allows adjustments to be made to fine-tune transmissions.,,
What type of standards are built by the officials and network professionals in organizations? ,Formal standards,,
What organization sets the rules as to how credit card data is handled?,PCI,,
"Which of the following is a transmission mode that transmits in two directions, but only in one direction at a time?",Asynchronous,,
SIP signaling protocol for VoIP and Video-over-IP allows for a connection to be modified. Which of these is an example of a session modification?,Adding an additional participant.,,
Which of the following wireless communication technologies has the shortest range?,Near Field Communication,,
How many nodes for a network would a /23 be good for address space in IPv4?,Up to 512,,
What is the maximum number of zones that can be associated to a firewall?,Firewalls can have many zones associated to them.,,
What is the purpose of load balancing in a network?,It distributes traffic to allow for a balance in the network keeping services available,,
"Although security is important, why is there a need to use Wireless Access Point as a pass-through set-up which allows any server to get connected to the network?",To enable the peer devices to exchange data without much difficulty.,,
"If you want to prevent employees from disclosing sensitive company information, which network security type would be best to implement?",DLP,,
Which two protocols are NOT backward compatible?,802.11a Protocol 802.11b,,
What is the approximate distance between devices when establishing a connection using short-range wireless communication?,From a few centimeters to several meters,,
What is PSTN stands for?,Public Switched Telephone Network,,
Why is the role of RTCP important in VoIP communications?,It allows adjustments to be made to fine-tune transmissions.,,
What type of video-over-IP service relies on two-way communication?,Video conferencing,,
What is a specially built server?,is built with redundant power supplies to maintain constant availability,,
Which of the following devices can be used to interface computer networks that use different communication protocols?,Gateway,,
What is a specially designed server operating system can serve?,numerous concurrent clients connections,,
An office operates on 3 floors of a building. It comprises 4 different departments. Which of the following network implementation will most suit the office needs?,4 VLANs on 4 switches with trunk link connections,,
Which type of network transmission mode transmits data in both directions simultaneously?,Synchronous,,
"If you didn't have access to a highly-skilled IT network team, what would be a good option for a WAN (Wide Area Network)?",A fully carrier managed WAN.,,
What makes the symmetric DSL network type so different from the asymmetric type?,It has an equal balance between download and upload speeds.,,
What are two common WAN (Wide Area Network) design types?,Hub and spoke; Full mesh topology,,
What is the network layer converts?,Logical addresses into physical addresses,,
"In the OSI model, what does the application layer do?","This layer actively interacts with the operating system or application when the user decides to transfer files, read messages, or perform network-related activities.",,
What networking organizations set the standards for network communication?,all of these answers are correct,,
"At the 'receiving' computer, the transport layer provides input to which OSI layer?",The session layer,,
"What is the topology of a network describes how devices are connected via actual cabling, wireless connectivity, etc?",physical topology,,
"Consider a number of computers are in a network, and one computer crashes. In which of the following network topologies will the entire network also go down?",Ring,,
Which network topology uses a central hub or controller?,Star,,
What are WLAN Protocols?,WLAN Protocols are network protocols which govern data transmissions over wireless connectivity.,,
What are the reasons for the degradation of a wireless signal?,Reflection/Diffraction/ScatteringAll of the above,,
Which application operates in the frequency range 87.5 - 108 MHz?,FM Radio,,
What is wireless transmission happens when wireless equipment converts?,an electric current to electromagnetic waves,,
When are guest accounts most likely necessary?,a doctor's office in the waiting room,,
Which of the following is a method for securing data by using special mathematical algorithms to convert the data into a scrambled code before transmission?,Encryption,,
What would most likely benefit from registering its MAC addresses?,a small investment firm,,
Why did the first version of WPA use TKIP?,Many old devices still used WEP and TKIP was intended to make it easy to upgrade.,,
What is frequency Division Multiplexing is not used in ?,Air band radio,,
Which of the following is NOT true with respect to a band pass filter?,The band pass filter is present at the sender's side.,,
What part of an optical fiber cable reflects light back into the core as the cable bends?,Cladding,,
Crosstalk and attenuation are NOT a problem in which of the following media?,Fiber optic cable,,
Which of the following is NOT a basic component of a telecommunication network?,Remote control unit,,
In what way is a peer-to-peer network different from client/server networks?,"In peer-to-peer, tasks are allocated among all the members of the network while in a client/server network, a number of network clients or workstations request resources or services from the network.",,
How do clients communicate with the server?,The network,,
